"dir","movie","pred","odds"
"Damien Chazelle "," La La Land ","1274","15/8 "
"Kenneth Lonergan "," Manchester by the Sea ","63","11/2 "
"Barry Jenkins "," Moonlight ","77","13/2 "
"Martin Scorsese "," Silence ","108","7/1 "
"Denzel Washington "," Fences ","32","12/1 "
"Ang Lee "," Billy Lynn's Long Halftime Walk ","69","16/1 "
"Pablo Larrain "," Jackie ","10","28/1 "
"Denis Villeneuve "," Arrival ","11","33/1 "
"Jeff Nichols "," Loving ","4","50/1 "
"Mel Gibson "," Hacksaw Ridge ","12","100/1 "
"Clint Eastwood "," Sully ","12","100/1 "
"Nate Parker "," The Birth of a Nation ","3","100/1 "
"Garth Davis "," Lion ","1","100/1 "
"Ewan McGregor "," American Pastoral ","1","100/1 "
"Tom Ford "," Nocturnal Animals ","1","100/1 "
"David Mackenzie "," Hell or High Water ","2","100/1 "
"Tim Burton "," Miss Peregrine's Home for Peculiar Children ","1","100/1 "
"Yorgos Lanthimos "," The Lobster ","2","100/1 "
"Warren Beatty "," Rules Don't Apply ","1","100/1 "
"Woody Allen "," Cafe Society ","4","100/1 "
"Robert Zemeckis "," Allied ","1","100/1 "
"Ben Affleck "," Live By Night ","0","100/1 "
"Stephen Frears "," Florence Foster Jenkins ","2","100/1 "
"Tate Taylor "," The Girl on the Train ","0","100/1 "
"Morten Tyldum "," Passengers ","2","100/1 "
"Oliver Stone "," Snowden ","1","100/1 "
"John Lee Hancock "," The Founder ","0","100/1 "
"J.A. Bayona "," A Monster Calls ","2","100/1 "
"Gavin Hood "," Eye in the Sky ","1","100/1 "
"Theodore Melfi "," Hidden Figures ","1","100/1 "
"Pedro Almodovar "," Julieta ","1","100/1 "
"Derek Cianfrance "," The Light Between Oceans ","1","100/1 "
"Jim Jarmusch "," Paterson ","1","100/1 "
"Paul Verhoeven "," Elle ","0","100/1 "
"Andrea Arnold "," American Honey ","1","100/1 "
"Whit Stillman "," Love and Friendship ","0","100/1 "
"Mike Mills "," 20th Century Women ","0","100/1 "
"John Madden "," Miss Sloane ","1","100/1 "
"Antoine Fuqua "," The Magnificent Seven ","0","100/1 "
"Peter Berg "," Patriot's Day ","0","100/1 "
"Matt Ross "," Captain Fantastic ","0","100/1 "
"Mick Jackson "," Denial ","1","100/1 "
"Stephen Gaghan "," Gold ","0","100/1 "
"Jonathan Jakubowicz "," Hands of Stone ","1","100/1 "
"Ben Younger "," Bleed for This ","0","100/1 "
"David Frankel "," Collateral Beauty ","0","100/1 "
"Maren Ade "," Toni Erdmann ","0","100/1 "
"Mira Nair "," Queen of Katwe ","0","100/1 "
"Rebecca Miller "," Maggie's Plan ","0","100/1 "
